system,scale,bloom_filter,threads,cache_size,trial,Q1.1,Q1.2,Q1.3,Q2.1,Q2.2,Q2.3,Q3.1,Q3.2,Q3.3,Q3.4,Q4.1,Q4.2,Q4.3
duckdb,1,,2.0,5 GB,2,0.06573,0.0610688,0.0641718,0.0581431,0.0563518,0.0409669,0.0694437,0.0374703,0.034983,0.0326907,0.105785,0.112162,0.0565559
duckdb,1,,2.0,5 GB,3,0.0655634,0.0603167,0.0633144,0.0573697,0.047702,0.0390843,0.0747877,0.0383049,0.0401813,0.0382456,0.106219,0.113999,0.0578699
duckdb,1,,4.0,100 MB,1,0.04591,0.0345501,0.0318356,0.0343403,0.0328221,0.0268539,0.0416234,0.0252014,0.0222256,0.0222268,0.0938297,0.0740804,0.0388393
duckdb,1,,4.0,100 MB,2,0.0461044,0.035206,0.0311222,0.0375715,0.0359314,0.0304098,0.0426639,0.0257392,0.0323894,0.0238835,0.0761124,0.0779434,0.0528098
duckdb,1,,4.0,100 MB,3,0.0478069,0.0353023,0.0322413,0.0350093,0.0421389,0.0424987,0.0421665,0.0259805,0.0241264,0.0227283,0.0825602,0.0823726,0.0393649
duckdb,1,,4.0,200 MB,1,0.0463595,0.035485,0.032634,0.0340669,0.038861,0.0392935,0.041661,0.0261954,0.0228843,0.0228226,0.0762797,0.093979,0.0379317
duckdb,1,,4.0,200 MB,2,0.0473129,0.0359559,0.0324044,0.0362557,0.0387855,0.029928,0.0418113,0.0275275,0.0232849,0.0214449,0.07771,0.0861675,0.0412793
duckdb,1,,4.0,200 MB,3,0.0463736,0.0352684,0.032575,0.0337606,0.0381574,0.0413125,0.0443841,0.0281649,0.0225188,0.0226819,0.0829006,0.0811522,0.0479064
duckdb,1,,4.0,500 MB,1,0.0443639,0.0326657,0.0294758,0.0321147,0.0304543,0.0416433,0.0393624,0.0324808,0.0196688,0.0189646,0.0646094,0.0748301,0.0467446
duckdb,1,,4.0,500 MB,2,0.0444452,0.0326113,0.0295047,0.0320169,0.0307562,0.0268371,0.0420087,0.0216311,0.0190169,0.0215393,0.0654452,0.0750348,0.0333422
duckdb,1,,4.0,500 MB,3,0.0417961,0.0328118,0.0295284,0.0324202,0.0351664,0.029606,0.0487189,0.0216533,0.029292,0.019645,0.0719616,0.079427,0.0452585
